ADM3_ES,ADM3_PCODE,ADM2_ES,ADM2_PCODE,ADM1_ES,SSP1_2030_population,SSP1_2050_population,SSP2_2030_population,SSP2_2050_population,SSP3_2030_population,SSP3_2050_population
Sayan,PE150811,Huaura,PE1508,Lima,19011.08984,15631.8271484375,19768.82031,17842.58203,21705.462890625,21891.130859375
Sayapullo,PE131104,Gran Chimu,PE1311,La Libertad,4877.1767578125,3476.759033203125,5075.35498046875,4413.050781,5515.345703,5296.0126953125
Sayla,PE040808,La Union,PE0408,Arequipa,780.5935668945312,772.8018188476562,799.3460083007812,824.0867919921875,909.8825073242188,1088.467529296875
Saylla,PE080107,Cusco,PE0801,Cusco,6271.03125,6807.4501953125,6571.107422,7905.0634765625,7436.935547,13980.15234
Secclla,PE090312,Angaraes,PE0903,Huancavelica,3434.261474609375,3196.51220703125,3567.070313,3393.298583984375,3893.624755859375,3957.376953
Sechura,PE200801,Sechura,PE2008,Piura,37971.36719,38722.46875,39119.61719,41912.08594,43088.64063,49296.34375
Sepahua,PE250202,Atalaya,PE2502,Ucayali,3973.05517578125,3858.064453,4072.8154296875,4094.87353515625,4283.17431640625,4453.9375
Sexi,PE061309,Santa Cruz,PE0613,Cajamarca,514.2631225585938,461.13336181640625,538.8648681640625,523.5374755859375,573.5809936523438,577.746826171875
Shamboyacu,PE220708,Picota,PE2207,San Martin,15532.14844,16580.419921875,15979.7587890625,17615.185546875,17140.169921875,20714.86719
Shanao,PE220509,Lamas,PE2205,San Martin,5197.82470703125,6154.3896484375,5492.482422,6984.025391,6155.2529296875,8037.478516
Shapaja,PE220914,San Martin,PE2209,San Martin,3160.921875,4188.416016,3242.14013671875,4381.3212890625,3430.27587890625,5093.0458984375
Shatoja,PE220305,El Dorado,PE2203,San Martin,4339.25927734375,4746.36181640625,4515.0068359375,4928.65576171875,4898.792969,5684.953125
Shilla,PE020609,Carhuaz,PE0206,Ancash,3125.878662109375,3015.62548828125,3194.69873046875,3269.0244140625,3417.19775390625,3686.440185546875
Shipasbamba,PE010310,Bongara,PE0103,Amazonas,3361.54638671875,3584.611328,3550.06298828125,3976.769531,3912.30810546875,4643.6875
Shunqui,PE100321,Dos de Mayo,PE1003,Huanuco,3266.9287109375,4000.7353515625,3456.07470703125,4523.222656,4263.556641,5452.7216796875
Shunte,PE221004,Tocache,PE2210,San Martin,388.1065673828125,387.2501220703125,403.7010498046875,407.1958312988281,420.3769836425781,438.97430419921875
Shupluy,PE022007,Yungay,PE0220,Ancash,1994.850341796875,1875.9552001953125,2065.0517578125,2033.3349609375,2199.03857421875,2280.7783203125
Sibayo,PE040515,Caylloma,PE0405,Arequipa,456.44134521484375,434.8071594238281,469.9402770996094,461.8411560058594,503.5181579589844,511.66473388671875
